id;name;manufacturer;type;size;quantity;cost_per_unit;notes;product_line;part_number;source_kind;manufacturer_source;match_grade;magnum;ar_variant;nominal_diameter_in;used_for;box_count;case_count;composition_class;non_corrosive;lead_free;temperature_claim;primer_family;cup_thickness_in;cup_hardness_class;pressure_tolerance_class;ignition_strength_class;recommended_pressure_min_psi;recommended_pressure_max_psi;cold_weather_suitability;primer_sign_interpretation;evidence_level;reference_source;display_name;match_grade_label;magnum_label;ar_variant_label;non_corrosive_label;lead_free_label;primer_flags
1;Federal 205;Federal;Small Rifle;SR;500;;Demo primers;;;;;0;0;0;;;;;;1;0;;;;;;;;;;;;;Federal Federal 205;nei;nei;nei;ja;nei;
19;GM205MAR;Federal;Match AR;Small Rifle;0;;Specially for AR-15, harder cup;;;;;0;0;0;;;;;;1;0;;small_rifle_match;;hard;high;standard_plus;38000.0;65000.0;moderate;;;;Federal GM205MAR;nei;nei;nei;ja;nei;
15;KVB-223;Murom;Match;Small Rifle;0;;Russian match primer, very consistent;;;;;0;0;0;;;;;;1;0;;small_rifle_match;;medium_hard;medium_high;standard_plus;38000.0;62000.0;moderate;;;;Murom KVB-223;nei;nei;nei;ja;nei;
16;KVB-7.62;Murom;Match;Large Rifle;0;;Russian match quality;;;;;0;0;0;;;;;;1;0;;large_rifle_match;;hard;high;standard_plus;42000.0;65000.0;moderate;;;;Murom KVB-7.62;nei;nei;nei;ja;nei;
17;Large Rifle;Norma;Standard;Large Rifle;0;;European quality;;;;;0;0;0;;;;;;1;0;;large_rifle_military;;hard;high;standard;42000.0;65000.0;standard;;;;Norma Large Rifle;nei;nei;nei;ja;nei;
18;Small Rifle;Norma;Standard;Small Rifle;0;;Consistent ignition;;;;;0;0;0;;;;;;1;0;;small_rifle_military;;hard;high;standard;38000.0;65000.0;standard;;;;Norma Small Rifle;nei;nei;nei;ja;nei;
14;5333;RWS;Standard;Small Rifle;0;;European standard;;;;;0;0;0;;;;;;1;0;;small_rifle_military;;hard;high;standard;38000.0;65000.0;standard;;;;RWS 5333;nei;nei;nei;ja;nei;
13;5341;RWS;Standard;Large Rifle;0;;German quality, consistent;;;;;0;0;0;;;;;;1;0;;large_rifle_magnum;;hard;high;magnum;42000.0;65000.0;standard;;;;RWS 5341;nei;nei;nei;ja;nei;
23;6 1/2;Remington;Small Rifle;small rifle;0;;Seedet primerprofil for referanse og simulering.;Remington Primers;;reference_inferred;Remington SDS / safety materials;0;0;0;0.175;Moderate small-rifle pressure applications;100;;;1;0;;small_rifle;0.02;soft;moderate;standard;35000.0;50000.0;fair;early_signs_possible;reference_seed;Calhoon small-rifle pressure notes;Remington 6 1/2;nei;nei;nei;ja;nei;
9;7 1/2;Remington;Benchrest;Small Rifle;0;;BR standard;;;;;0;0;0;;;;;;1;0;;small_rifle_benchrest;;hard;high;standard_plus;38000.0;65000.0;moderate;;;;Remington 7 1/2;nei;nei;nei;ja;nei;
10;9 1/2;Remington;Magnum;Large Rifle;0;;For magnums;;;;;0;0;0;;;;;;1;0;;large_rifle_magnum;;hard;high;magnum;42000.0;65000.0;good;;;;Remington 9 1/2;nei;nei;nei;ja;nei;
24;SR;Winchester;Small Rifle;small rifle;0;;Seedet primerprofil for referanse og simulering.;Winchester Components;;manufacturer_published+reference_inferred;Winchester components / SDS;0;0;0;0.175;Small rifle reloading;100;;lead styphnate-based;1;0;all weather;small_rifle;0.02;medium;moderate;standard;35000.0;50000.0;fair;early_signs_possible;reference_seed;Calhoon small-rifle pressure notes;Winchester SR;nei;nei;nei;ja;nei;
11;WLR;Winchester;Standard;Large Rifle;0;;General purpose;;;;;0;0;0;;;;;;1;0;;large_rifle_military;;hard;high;standard;42000.0;65000.0;standard;;;;Winchester WLR;nei;nei;nei;ja;nei;
12;WSR;Winchester;Standard;Small Rifle;0;;General purpose;;;;;0;0;0;;;;;;1;0;;small_rifle_military;;hard;high;standard;38000.0;65000.0;standard;;;;Winchester WSR;nei;nei;nei;ja;nei;
